timestamp,hash-rate,difficulty
2020-08-02,118087053.073985,16847561611550.0
2020-08-03,135674486.510536,16847561611550.0
2020-08-04,121437040.395232,16847561611550.0
2020-08-05,108037091.110241,16847561611550.0
2020-08-06,130649505.528664,16847561611550.0
2020-08-07,127299518.207416,16847561611550.0
2020-08-08,118924549.904297,16847561611550.0
2020-08-09,130649505.528664,16847561611550.0
2020-08-10,114901504.532898,16871707187017.9
2020-08-11,129741892.842126,16947802333947.0
2020-08-12,132269332.313077,16947802333947.0
2020-08-13,123844534.076575,16947802333947.0
2020-08-14,140694130.549579,16947802333947.0
2020-08-15,131426852.489427,16947802333947.0
2020-08-16,128056933.194826,16947802333947.0
2020-08-17,105309977.956271,16947802333947.0
2020-08-18,117947175.311024,16947802333947.0
2020-08-19,116262215.6637237,16947802333947.0
2020-08-20,123002054.25292505,16947802333947.0
2020-08-21,130584372.66577661,16947802333947.0
2020-08-22,114577256.01642336,16947802333947.0
2020-08-23,132269332.31307696,16947802333947.0
2020-08-24,128441437.17505692,17340945336075.322
2020-08-25,111720008.69546376,17557993035167.0
2020-08-26,123939384.6465301,17557993035167.0
2020-08-27,112592821.26339707,17557993035167.0
2020-08-28,142268448.57312962,17557993035167.0
2020-08-29,127430634.91826336,17557993035167.0
2020-08-30,110847196.12753047,17557993035167.0
2020-08-31,130921885.1899966,17557993035167.0
2020-09-01,134413135.46172985,17557993035167.0
2020-09-02,125685009.78239675,17557993035167.0
2020-09-03,112592821.26339707,17557993035167.0
2020-09-04,117829696.67099695,17557993035167.0
2020-09-05,123066572.0785968,17557993035167.0
2020-09-06,130921885.1899966,17557993035167.0
2020-09-07,151762133.7678071,17445332713343.377
2020-09-08,133652505.32879263,17345997805929.0
2020-09-09,128478859.9612265,17345997805929.0
2020-09-10,136239328.01257572,17345997805929.0
2020-09-11,118993843.45402186,17345997805929.0
2020-09-12,146586618.74770805,17345997805929.0
2020-09-13,139688424.9242865,17345997805929.0
2020-09-14,151760264.11527425,17345997805929.0
2020-09-15,134514779.55672038,17345997805929.0
2020-09-16,133652505.32879263,17345997805929.0
2020-09-17,153484812.57112962,17345997805929.0
2020-09-18,142275247.6080696,17345997805929.0
2020-09-19,128478859.9612265,17345997805929.0
2020-09-20,135165071.8298032,19148290888758.86
2020-09-21,139219832.7594406,19314656404097.0
2020-09-22,123857644.31701957,19314656404097.0
2020-09-23,136339422.42648664,19314656404097.0
2020-09-24,131538738.5382301,19314656404097.0
2020-09-25,162263115.42307216,19314656404097.0
2020-09-26,144020516.64769718,19314656404097.0
2020-09-27,145940790.2029998,19314656404097.0
2020-09-28,123857644.31701957,19314656404097.0
2020-09-29,135379285.64883536,19314656404097.0
2020-09-30,149781337.3136051,19314656404097.0
2020-10-01,119056960.428763,19314656404097.0
2020-10-02,130578601.76057878,19314656404097.0
2020-10-03,144980653.4253485,19314656404097.0
2020-10-04,151592064.050859,19300708897945.594
2020-10-05,134303836.4311328,19298087186263.0
2020-10-06,124710705.25748046,19298087186263.0
2020-10-07,144856280.7221504,19298087186263.0
2020-10-08,155408725.01316798,19298087186263.0
2020-10-09,136222462.66586328,19298087186263.0
2020-10-10,137181775.78322852,19298087186263.0
2020-10-11,134303836.4311328,19298087186263.0
2020-10-12,142937654.4874199,19298087186263.0
2020-10-13,159245977.48262888,19298087186263.0
2020-10-14,142937654.4874199,19298087186263.0
2020-10-15,144856280.7221504,19298087186263.0
2020-10-16,148693533.1916113,19298087186263.0
2020-10-17,152419671.45957646,19529685517635.715
2020-10-18,119288755.69898501,19997335994446.0
2020-10-19,124259120.51977606,19997335994446.0
2020-10-20,143146506.838782,19997335994446.0
2020-10-21,129229485.3405671,19997335994446.0
2020-10-22,136187996.08967456,19997335994446.0
2020-10-23,130223558.30472532,19997335994446.0
2020-10-24,151099090.55204767,19997335994446.0
2020-10-25,116306536.80651039,19997335994446.0
2020-10-26,109348026.05740291,19997335994446.0
2020-10-27,98413223.45166263,19997335994446.0
2020-10-28,99407296.41582084,19997335994446.0
2020-10-29,107359880.12908651,19997335994446.0
2020-10-30,110342099.02156112,19997335994446.0
2020-10-31,112330244.94987755,19997335994446.0
2020-11-01,124259120.51977606,19997335994446.0
2020-11-02,94436931.5950298,19997335994446.0
2020-11-03,124332259.04844461,17865273539019.508
2020-11-04,132689483.0919183,16787779609933.0
2020-11-05,122675182.48120748,16787779609933.0
2020-11-06,127682332.78656289,16787779609933.0
2020-11-07,121840657.43031493,16787779609933.0
2020-11-08,115164457.02317438,16787779609933.0
2020-11-09,154387134.41512507,16787779609933.0
2020-11-10,122675182.48120748,16787779609933.0
2020-11-11,122675182.48120748,16787779609933.0
2020-11-12,133524008.14281088,16787779609933.0
2020-11-13,115998982.07406694,16787779609933.0
2020-11-14,118502557.22674464,16787779609933.0
2020-11-15,125178757.63388519,16787779609933.0
2020-11-16,135534841.86269382,17040598812944.875
2020-11-17,137334450.8705656,17596801059571.0
2020-11-18,147831351.5740483,17596801059571.0
2020-11-19,119839616.36476107,17596801059571.0
2020-11-20,146956609.8487581,17596801059571.0
2020-11-21,147831351.5740483,17596801059571.0
2020-11-22,152205060.20049945,17596801059571.0
2020-11-23,128587033.61766332,17596801059571.0
2020-11-24,118964874.63947083,17596801059571.0
2020-11-25,135584967.41998515,17596801059571.0
2020-11-26,131211258.79353401,17596801059571.0
2020-11-27,134710225.69469494,17596801059571.0
2020-11-28,134710225.69469494,17596801059571.0
2020-11-29,135399801.26976258,18158528379021.04
2020-11-30,107610727.917311,19157154724710.0
2020-12-01,144750713.6586838,19157154724710.0
