date,Whale Ratio
2020-08-13,0.7887527036770007
2020-10-29,0.9999999965855241
2020-11-05,0.9999999982387123
2021-01-26,0.9999999938450626
2021-01-27,0.9166666649952778
2021-04-23,0.999999981309483
2021-09-01,0.8828254811929362
2021-09-02,0.6699245481988612
2021-09-03,0.7844481132593513
2021-09-04,0.9699659319102001
2021-09-07,0.8466600173495293
2021-09-08,0.9221013477041463
2021-09-09,0.8417855389304186
2021-09-11,0.8155548262356789
2021-09-12,0.9102884706730191
2021-09-13,0.9100633629001281
2021-09-14,0.8517353340837239
2021-09-17,0.932887777423028
2021-09-19,0.7708206158284487
2021-09-20,0.7168034197795556
2021-09-23,0.6700884975682384
2021-09-25,0.9344673361311173
2021-09-28,0.7193260598099039
2021-09-29,0.9289850314105469
2021-09-30,0.879040087284034
2021-10-01,0.717843239276656
2021-10-02,0.8349596865290096
2021-10-07,0.9568084007122287
2021-10-10,0.9101544344535091
2021-10-14,0.9999998895678156
2021-10-15,0.9420368809120158
2021-10-21,0.9712227511386685
2021-10-22,0.9278720456283565
2021-10-25,0.999762020235382
2021-10-28,0.8516657667238168
2021-10-30,0.944533091640636
2021-11-11,0.9394470747194913
2021-11-13,0.9178945966363349
2021-12-01,0.8699099515825677
2021-12-03,0.852399677863082
2021-12-15,0.7867096118828034
2021-12-31,0.9999999962926678
2022-02-01,0.9972694418491245
2022-06-17,0.9999999851029718
2022-08-12,0.9999998244017329
2022-09-30,0.9997454702946688
2022-10-24,0.9999998291740845
2022-11-10,0.9996680281994809
2022-11-12,0.9948783596345634
2022-12-23,0.9999999974092796
2023-01-17,0.9994440967333962
2023-02-14,0.9999999748044037
2023-02-16,0.9999999696214686
2023-03-22,0.9999727225757634
2023-03-24,0.9999992077862208
2023-04-04,0.9999999981007226
2023-04-05,0.9999900441399965
2023-04-06,0.999999978119036
2023-04-12,0.8798101970718435
2023-04-18,0.9617881130272802
2023-04-21,0.9999999996955696
2023-04-23,0.9999999961934539
2023-04-24,0.9999980633036563
2023-04-27,0.9999999854661679
2023-05-02,0.9999999994980998
2023-05-03,0.9976925606597384
2023-05-08,0.9999958248347277
2023-05-09,0.9998984698023442
2023-05-11,0.9997195665620948
2023-05-17,0.9999342369321222
2023-05-24,0.9935128590590224
2023-05-25,0.9455690724867956
2023-05-26,0.9399647261373433
2023-06-02,0.9931028906566708
2023-06-05,0.997828357673897
2023-06-07,0.9952178608903849
2023-06-08,0.9907342180626872
2023-06-14,0.9918259140296518
2023-06-15,0.9665985547341709
2023-06-16,0.9712858203898541
2023-06-17,0.9986785693175882
2023-06-19,0.998776585075171
2023-06-20,0.9999957930781647
2023-06-21,0.9682532216945933
2023-06-22,0.9939642422856652
2023-06-23,0.9972834334346882
2023-06-24,0.9566475256124063
2023-06-27,0.9344912824951312
2023-06-28,0.9854525977014296
2023-06-29,0.992676986768636
2023-06-30,0.9880684445514272
2023-07-01,0.9935260552502817
2023-07-04,0.9857004352081903
2023-07-05,0.9999997637684526
2023-07-06,0.9533393825252577
2023-07-07,0.9944169598795634
2023-07-08,0.9792086779862034
2023-07-10,0.9686534920953574
2023-07-11,0.9538135642213905
2023-07-12,0.9767449849750514
2023-07-13,0.9600447903753341
2023-07-14,0.9870842714605761
2023-07-15,0.9796506276942233
2023-07-16,0.956564441031828
2023-07-18,0.97350776119629
2023-07-19,0.9971889787740904
2023-07-20,0.9744861042710307
2023-07-21,0.9292778064455288
2023-07-22,0.9949979583557049
2023-07-23,0.9827892690944764
2023-07-24,0.9860992547424307
2023-07-25,0.9707049269295763
2023-07-26,0.9784406359903971
2023-07-27,0.969146119463733
2023-07-28,0.9807794619189717
2023-07-29,0.9988543001932203
2023-07-30,0.748300993959594
2023-07-31,0.9774756623302141
2023-08-01,0.9866663713982106
2023-08-03,0.9972718567600865
2023-08-04,0.7650960475726878
2023-08-07,0.9502586964572796
2023-08-09,0.9970520806702659
2023-08-10,0.9934077341741704
2023-08-11,0.9902918582087993
2023-08-12,0.9151781344831585
2023-08-15,0.9987269298591389
2023-08-16,0.9817300242340424
2023-08-17,0.9991848976190789
2023-08-18,0.984309391059765
2023-08-19,0.9811993278021943
2023-08-20,0.986053865332059
2023-08-21,0.9394690362672173
2023-08-22,0.9321966826350634
2023-08-23,0.9658120602718733
2023-08-24,0.9797215177073183
2023-08-25,0.9483398465259317
2023-08-26,0.9470404007841426
2023-08-27,0.9541404929292171
2023-08-28,0.9472766423540672
2023-08-29,0.9013753947446206
2023-08-30,0.9554102603838485
2023-08-31,0.9508937365000498
2023-09-01,0.9917819857015945
2023-09-02,0.9898472799401522
2023-09-03,0.999999748696665
2023-09-04,0.9354686345331201
2023-09-05,0.9375826185609127
2023-09-06,0.9600892537886137
2023-09-07,0.9972459362004982
2023-09-08,0.6294369987492591
2023-09-09,0.9544261645807015
2023-09-10,0.9657762435252486
2023-09-11,0.7408623865395653
2023-09-12,0.7636046014081891
2023-09-13,0.8597847267581706
2023-09-14,0.9714423617327126
2023-09-15,0.8198282724556345
2023-09-17,0.9075113832700603
2023-09-18,0.9763044086022764
2023-09-19,0.9988284824935089
2023-09-21,0.988342144332844
2023-09-22,0.9874853908831227
2023-09-23,0.9984886408844098
2023-09-25,0.9492142230328243
2023-09-26,0.9638843062944112
2023-09-27,0.9450613396091014
2023-09-28,0.972002265837172
2023-09-29,0.9736660104087137
2023-10-02,0.9865865711936332
2023-10-03,0.9978144610592218
2023-10-04,0.8654163353269573
2023-10-05,0.9937634326755078
2023-10-06,0.9797181257166736
2023-10-07,0.9941185957183692
