,date,wallet_address,sent_amount_btc,received_amount_btc,net
3001,2014-08-30 22:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001,-0.0001
3000,2014-09-07 09:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,1e-05,-1e-05
2999,2014-09-08 19:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001,-0.0001
2998,2014-09-24 05:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001,-0.0001
2997,2014-09-25 21:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,1e-08,-1e-08
2996,2014-10-04 22:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001,-0.0001
2995,2014-10-05 10:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001,-0.0001
2994,2014-10-06 03:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001,-0.0001
2993,2014-10-12 05:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001,-0.0001
2992,2014-10-12 19:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,8.888e-05,-8.888e-05
2991,2014-10-13 08:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001,-0.0001
2990,2014-10-20 19:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.05,-0.05
2989,2014-10-24 00:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001,-0.0001
2988,2014-11-21 04:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001,-0.0001
2987,2014-12-10 08:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.00028563,-0.00028563
2986,2014-12-29 03:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.00053856,-0.00053856
2985,2015-01-20 20:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.00010001,-0.00010001
2984,2015-01-28 23:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.00010003,-0.00010003
2983,2015-03-02 11:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001,-0.0001
2982,2015-03-07 20:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001,-0.0001
2981,2015-03-10 02:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001,-0.0001
2980,2015-04-02 04:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0005,-0.0005
2979,2015-04-03 02:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0005,-0.0005
2978,2015-09-09 23:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.001,-0.001
2977,2015-11-24 23:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001,-0.0001
2976,2015-11-24 23:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,3.103e-05,-3.103e-05
2975,2015-12-02 14:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001,-0.0001
2974,2016-01-05 06:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.00074562,-0.00074562
2973,2016-01-05 22:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.001,-0.001
2972,2016-01-05 22:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001,-0.0001
2971,2016-01-07 15:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001,-0.0001
2970,2016-01-12 14:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001,-0.0001
2969,2016-01-15 08:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001,-0.0001
2968,2016-01-21 22:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001,-0.0001
2967,2016-02-12 13:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,0.0001,-0.0001
2966,2016-02-13 15:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,7.723e-05,-7.723e-05
7321,2016-03-15 07:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,39.10041289,-39.10041289
7320,2016-03-16 02:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,39.10041289,37.14523757,1.9551753200000022
7319,2016-03-16 06:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,37.14523757,35.28782096,1.8574166100000014
7318,2016-03-16 06:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,36.08165236,-36.08165236
7317,2016-03-16 06:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,35.67265883,-35.67265883
7316,2016-03-16 07:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,35.28782096,33.52325942,1.7645615399999954
7315,2016-03-17 04:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,36.08165236,30.81755313,5.264099229999999
7314,2016-03-18 05:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,35.67265883,30.67176458,5.000894250000002
7313,2016-03-19 05:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,33.52325942,28.77242238,4.750837040000004
7312,2016-03-23 01:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,30.81755313,26.30425792,4.513295209999999
7311,2016-03-24 01:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,30.67176458,27.69937216,2.972392420000002
7310,2016-03-25 14:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,28.77242238,26.01840523,2.7540171499999992
7309,2016-04-19 02:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,267.95378221,-267.95378221
7308,2016-04-20 06:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,255.0699349,-255.0699349
7307,2016-04-21 03:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,250.12675229,-250.12675229
7306,2016-04-29 07:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,250.80751558,-250.80751558
7305,2016-05-18 00:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,558.10558005,-558.10558005
7304,2016-05-19 23:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,455.23686805,-455.23686805
2965,2016-05-21 03:00:00,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,0.0,1e-05,-1e-05
7303,2016-05-24 03:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,435.10194757,-435.10194757
7302,2016-06-15 04:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,500.0,-500.0
7301,2016-06-15 04:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,500.0,-500.0
7300,2016-06-15 04:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,500.0,-500.0
7299,2016-06-15 04:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,500.0,-500.0
7298,2016-06-15 12:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,500.0,-500.0
7297,2016-06-15 12:00:00,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,0.0,500.0,-500.0
