,date,sent_amount_btc,received_amount_btc,net
102,2016-07-12 23:00:00,0.0,500.0,-500.0
103,2016-07-27 18:00:00,0.0,0.0003,-0.0003
104,2016-07-29 11:00:00,0.0,0.00065696,-0.00065696
105,2016-08-10 08:00:00,455.23686805,454.23653957,1.0003284800000074
106,2016-08-16 22:00:00,435.10194757,434.10161914,1.0003284299999677
107,2016-08-24 00:00:00,500.0,498.99966968,1.0003303199999891
108,2016-10-28 00:00:00,0.0,500.0,-500.0
109,2016-12-08 23:00:00,0.0,500.0,-500.0
110,2016-12-28 18:00:00,0.0,0.0105454,-0.0105454
111,2017-01-14 13:00:00,0.0,1000.0,-1000.0
112,2017-01-26 20:00:00,0.0,0.0004,-0.0004
113,2017-02-18 14:00:00,0.0,0.02341855,-0.02341855
114,2017-02-25 06:00:00,0.0,1000.0,-1000.0
115,2017-02-27 20:00:00,0.0,1000.0,-1000.0
116,2017-04-12 23:00:00,0.0,1.001e-05,-1.001e-05
117,2017-04-14 21:00:00,0.0,0.0001,-0.0001
118,2017-04-15 14:00:00,0.0,0.00866429,-0.00866429
119,2017-05-17 19:00:00,0.0,0.00100287,-0.00100287
120,2017-06-03 13:00:00,0.0,0.0003,-0.0003
121,2017-06-19 13:00:00,0.0,2e-05,-2e-05
122,2017-06-21 00:00:00,0.0,0.001,-0.001
123,2017-06-21 04:00:00,0.0,0.0001,-0.0001
124,2017-06-21 07:00:00,0.0,5.43e-05,-5.43e-05
125,2017-06-29 10:00:00,0.0,1e-05,-1e-05
126,2017-07-03 14:00:00,0.0,7.98e-06,-7.98e-06
127,2017-07-29 21:00:00,3557.10535159,2.08919466,3555.01615693
128,2017-08-05 02:00:00,0.0,1000.0,-1000.0
129,2017-08-07 07:00:00,0.0,1000.0,-1000.0
130,2017-08-11 01:00:00,3852.97969182,2.95591419,3850.02377763
131,2017-08-12 00:00:00,0.0,1001.0,-1001.0
132,2017-08-12 02:00:00,0.0,1001.0,-1001.0
133,2017-08-12 14:00:00,0.0,1001.0,-1001.0
134,2017-08-12 16:00:00,0.0,1001.0,-1001.0
135,2017-08-17 08:00:00,0.0,1001.0,-1001.0
136,2017-08-17 12:00:00,0.0,1001.0,-1001.0
137,2017-08-24 06:00:00,0.0,0.00122158,-0.00122158
138,2017-08-27 06:00:00,0.0,4.444e-05,-4.444e-05
139,2017-08-28 21:00:00,0.0,0.0001104,-0.0001104
140,2017-08-30 05:00:00,0.0,9.11e-05,-9.11e-05
141,2017-10-15 13:00:00,0.0,1e-05,-1e-05
142,2017-10-15 22:00:00,0.0,1e-05,-1e-05
143,2017-10-17 08:00:00,0.0,0.0001,-0.0001
144,2017-10-20 09:00:00,0.0,5.46e-06,-5.46e-06
145,2017-10-25 23:00:00,0.0,0.00106341,-0.00106341
146,2017-11-03 11:00:00,0.0,2002.0,-2002.0
147,2017-11-10 01:00:00,0.0,3000.0,-3000.0
148,2017-11-16 04:00:00,0.0,0.001,-0.001
